aMSaBU	a/MSaBU/	aMSaBU/
varAhu	varAhu/	varA/hu
varcasvin	va/rcasvi/n	varcasvi/n
varcasya	varcasya/	varcasya^
varzman	varzma/n	varzma/n,va/rzman
valaMruja	vala/Mruja/	valaMruja/
valaga	vala/ga/	valaga/
valagahan	vala/ga/ha/n	valagaha/n
valagin	vala/gi/n	valagi/n
vaSA	va/SA,vaSA/	vaSA/
vaSanI	va/SanI/	vaSanI/
vazawkAra	va/zawkAra/	vazawkAra/
vasavya	vasavya/	vasavya^
vasA	va/sA,vasA/	va/sA
vasujit	va/suji/t	vasuji/t
vasutA	va/sutA	vasu/tA
vasutAti	va/sutAti	vasu/tAti
vasutva	va/sutva/	vasutva/
vasutvana	va/sutvana/	vasutvana/
vasudA	va/sudA,va/sudA/	vasu/dA
vasudAna	va/sudA/na	vasudA/na
vasudAvan	va/sudA/van	vasudA/van
vasudeya	va/sude/ya	vasude/ya
vasuDAna	va/suDA/na	vasuDA/na
vasuDeya	va/suDe/ya	vasuDe/ya
vasupatnI	va/supa/tnI	vasupa/tnI
vasumaya	va/suma/ya	vasuma/ya
vasuruc	va/suru/c	vasuru/c
vasuvan	va/suva/n	vasuva/n
vasuvani	va/suva/ni	vasuva/ni
vasuvid	va/suvi/d	vasuvi/d
vastibila	vasti/bila/	vastibila/
vahyaSIvan	vahya/SI/van	vahyaSI/van
vAtajUta	vAtajUta/	vA/tajUta
vAtApya	vA/tApya	vAtA/pya
vAkovAkya	vAkovAkya/	vAkovAkya^
vAjakftya	vA/jakf/tya	vAjakf/tya
vAjajit	vA/jaji/t	vAjaji/t
vAjajityA	vA/jajityA/	vAjajityA/
vAjadA	vA/jadA/	vAjadA/
vAjadAvan	vA/jadA/van	vAjadA/van
vAjapeya	vA/jape/ya	vAjape/ya
vAjaprasavIya	vA/japrasavI/ya	vAjaprasavI/ya
vAjasani	vA/jasa/ni	vAjasa/ni
vAjasaneya	vA/jasaneya,vAjasaneya/	vAjasaneya/
vAjasA	vA/jasA/	vAjasA/
vAjasft	vA/jasf/t	vAjasf/t
vAtsIputra	vAtsI/pu/tra	vA/tsIpu/tra
vAtsImARqavIputra	vAtsImARqavIpu/tra	vA/tsImARqavIpu/tra
vAnyA	vAnyA/	vAnyA^
vAmadevya	vAma/devya/	vAmadevya/
vAmaBAj	vAma/BA/j	vAmaBA/j
vAmaBft	vAma/Bf/t	vAmaBf/t
vAmamoza	vAma/moza/	vAmamoza/
vAmaraTya	vAma/raTya	vAmaraTya/
vAyudatteya	vAyu/datteya	vA/yudatteya,vAyudatteya/
vAyumaya	vAyu/maya	vAyuma/ya
vAyavya	vAyavya/	vAyavya^
vAravantIya	vA/ravantI/ya	vAravantI/ya
vArzagaRIputra	vArzagaRIpu/tra	vA/rzagaRIpu/tra
vAlaDAna	vA/laDA/na	vAlaDA/na
vAsava	vAsava/	vA/sava
vAsavadattika	vAsava/dattika	vAsavadattika/
vAsavadatteya	vAsava/datteya	vAsavadatteya/
vAstupa	vA/stupa/	vAstupa/
vAstuvidya	vA/stuvidya	vAstuvidya/
vAhasa	vAhasa/	vA/hasa
virAj	vi/rAj,virA/j	virA/j
vikaNkawika	vi/kaNkawika	vikaNkawika/
vikaNkatImuKa	vi/kaNkatImuKa	vikaNkatI/muKa
vikawa	vi/kawa	vikawa/
vikarRa	vi/karRa/	vikarRa/
vikeSa	vi/keSa/	vikeSa/
vikrama	vi/krama,vikrama/	vikrama/
vigada	vi/gada,vigada/	vigada/
viGana	vi/Gana,viGana/	viGana/
vicatura	vi/catura	vicatura/
vijara	vi/jara/	vijara/
vijAni	vi/jAni	vijA/ni
vijAman	vi/jAman,vijA/man	vijA/man
vijiGatsa	vi/jiGatsa/	vijiGatsa/
vijenya	vi/jenya/	vijenya^
vitaram	vi/taram,vitara/m	vitara/m
vitftIya	vi/tftIya/	vitftIya/
videGa	vi/deGa/	videGa/
videva	vi/deva,videva/	vi/deva
videha	vi/deha	videha/
vidoha	vi/doha/,vidoha/	vidoha/
vidyut	vi/dyut,vidyu/t	vidyu/t
vipaTa	vi/paTa,vipaTa/	vipaTa/
vipApa	vi/pApa/	vipApa/
vipurIza	vi/purIza/	vipurIza/
viboDa	vi/boDa	viboDa/
viBItaka	vi/BItaka,viBI/taka	viBI/taka
vimatiman	vi/matiman	vimatima/n
vimada	vi/mada,vi/mada/	vimada/
vimaniman	vi/maniman	vimanima/n
vimAna	vi/mAna	vimA/na
vilohita	vi/lohita/,vi/lohita	vilohita/,vi/lohita
vivaruRa	vi/varuRa/	vivaruRa/
viSaPa	vi/SaPa/	viSaPa/
viSiKa	vi/SiKa/	viSiKa/
viSuzka	vi/Suzka	viSuzka/
viSravas	vi/Sra/vas	vi/Sravas
vizkanDadUzaRa	vi/zkanDadU/zaRa	vizkanDadU/zaRa
visalya	vi/salya/	visa/lya
visukft	vi/sukf/t	visukf/t
visoma	vi/soma/	visoma/
vikrAma	vi/krAma/	vikrAma/
vicakzas	vica/kzas	vi/cakzas
vigra	vi/gra	vigra/
vijYAnamaya	vijYA/nama/ya	vijYAnama/ya
vitarturam	vi/tartura/m	vitartura/m
vidaTya	vida/Tya/	vidaTya^
vittakAmyA	vitta/kAmyA/	vittakAmyA/
vittaDa	vitta/Da/	vittaDa/
vidAna	vi/dAna	vidA/na
videSya	videSya/	videSya^
vidyutya	vidyutya/	vidyutya^
viDAra	vi/DA/ra	viDA/ra
viDAraya	vi/DAraya/	viDAraya/
viprarAjya	vi/prarA/jya	viprarA/jya
viBukratu	viBu/kra/tu	viBukra/tu
viBUdAvan	viBUdA/van	viBU/dAvan
viBvan	vi/Bvan,vi/Bva/n	vi/Bvan,viBva/n
viBftvan	vi/Bf/tvan	viBf/tvan
virADana	virA/Dana	vi/rADana
vivAcana	vi/vA/cana	vivA/cana
viSpati	vi/Spa/ti,viSpa/ti	viSpa/ti
viSpatnI	vi/Spa/tnI	viSpa/tnI
viSya	viSya/	viSya^
viSvakarma	vi/Svakarma,viSva/karma	viSva/karma
viSvakarman	vi/Svakarman,viSva/karman	viSva/karman
viSvakft	vi/Svakf/t	viSvakf/t
viSvakfzwi	vi/Svakfzwi	viSva/kfzwi
viSvakziti	vi/Svakziti	viSva/kziti
viSvagarBa	vi/SvagarBa	viSva/garBa
viSvagUrta	vi/SvagUrta	viSva/gUrta
viSvagotra	vi/Svagotra	viSva/gotra
viSvagotrya	vi/Svagotrya	viSva/gotrya
viSvacakzaRa	vi/SvacakzaRa	viSva/cakzaRa
viSvacakzas	vi/Svacakzas	viSva/cakzas
viSvacarzaRi	vi/SvacarzaRi	viSva/carzaRi
viSvajana	vi/Svajana/	viSvajana/
viSvajanIna	vi/SvajanI/na	viSvajanI/na
viSvajanIya	vi/SvajanIya	viSvajanI/ya
viSvajanman	vi/Svajanman	viSva/janman
viSvajanya	vi/Svajanya	viSva/janya
viSvajit	vi/Svaji/t	viSvaji/t
viSvajU	vi/SvajU/	viSvajU/
viSvatas	vi/Svatas,viSva/tas	viSva/tas
viSvatur	vi/Svatu/r	viSvatu/r
viSvatUrti	vi/SvatUrti	viSva/tUrti
viSvadAni	vi/SvadA/ni	viSvadA/ni
viSvadAva	vi/SvadAva/	viSvadAva/
viSvadAvya	vi/SvadAvya/	viSvadAvya^
viSvadfzwa	vi/Svadfzwa	viSva/dfzwa
viSvadeva	vi/Svadeva	viSva/deva
viSvadevanetra	vi/Svadevanetra	viSva/devanetra
viSvadohas	vi/Svadohas	viSva/dohas
viSvaDAyas	vi/SvaDAyas	viSva/DAyas
viSvaDena	vi/SvaDena	viSva/Dena
viSvanAman	vi/SvanAman	viSva/nAman
viSvapiS	vi/Svapi/S	viSvapi/S
viSvapuz	vi/Svapu/z	viSvapu/z
viSvapeSas	vi/SvapeSas	viSva/peSas
viSvaprI	vi/SvaprI/	viSvaprI/
viSvapsan	vi/Svapsan	viSvapsa/n
viSvapsu	vi/Svapsu	viSva/psu
viSvaBaras	vi/SvaBaras	viSvaBa/ras
viSvaBAnu	vi/SvaBAnu	viSva/BAnu
viSvaBft	vi/SvaBf/t	viSvaBf/t
viSvaBojas	vi/SvaBojas	viSva/Bojas
viSvamanus	vi/Svamanus	viSva/manus
viSvamahas	vi/Svamahas	viSva/mahas
viSvaminva	vi/Svaminva/	viSvaminva/
viSvayaSas	vi/SvayaSas	viSva/yaSas
viSvarADas	vi/SvarADas	viSva/rADas
viSvarUpa	vi/SvarUpa,viSva/rUpa	viSva/rUpa
viSvavani	vi/Svava/ni	viSvava/ni
viSvavAra	vi/SvavAra	viSva/vAra
viSvavArya	vi/SvavArya	viSva/vArya
viSvavid	vi/Svavi/d	viSvavi/d
viSvaSArada	vi/SvaSArada	viSva/SArada
viSvaSuc	vi/SvaSu/c	viSvaSu/c
viSvaScandra	vi/SvaScandra	viSva/Scandra
viSvasuvid	vi/Svasuvi/d	viSvasuvi/d
viSvasU	vi/SvasU/	viSvasU/
viSvasOBaga	vi/SvasOBaga	viSva/sOBaga
viSvANgya	viSvANgya/	viSvANgya^
viSvataspad	viSva/taspad	viSvataspa/d
viza	vi/za,vi/za/	vi/za,viza/
vizA	vi/zA	vizA/
vizagiri	vi/zagiri/	vizagiri/
vizadUzaRa	vi/zadU/zaRa	vizadU/zaRa
vizaDAna	vi/zaDA/na	vizaDA/na
vizWAvrAjin	vizWA/vrAji/n	vizWAvrAji/n
vizRukrama	vi/zRukrama/	vizRukrama/
vIti	vIti/	vI/ti
vIci	vI/ci	vI/ci,vIci/
vIRAgATin	vI/RAgATi/n	vIRAgATi/n
vIRAvAda	vI/RAvAda/	vIRAvAda/
vIrakarma	vIra/ka/rma	vIraka/rma
vIraGnI	vIra/GnI	vIraGnI/
vIravah	vIra/va/h	vIrava/h
vIravid	vIra/vi/d	vIravi/d
vIrasU	vIra/sU	vIrasU/
vIrahan	vIra/ha/n	vIraha/n
vIrya	vIrya/	vIrya^
vIryakft	vIrya/kf/t	vIryakf/t
vftraKAda	vftra/KAda/	vftraKAda/
vftratara	vftra/ta/ra	vftrata/ra
vftratur	vftra/tur	vftratu/r
vftratUrya	vftra/tU/rya	vftratU/rya
vftratva	vftra/tva/	vftratva/
vftraSaNku	vftra/SaNku/	vftraSaNku/
vftraha	vftra/ha/	vftraha/
vftrahan	vftra/ha/n	vftraha/n
vfTAzah	vf/TAza/h	vfTAza/h
vfkatAt	vf/katAt	vfka/tAt
vfkzaKaRqa	vfkza/KaRqa	vfkzaKa/Rqa
vfkzya	vfkzya/	vfkzya^
vfjana	vfja/na	vfja/na,vf/jana
vfjanya	vfjanya/	vfjanya^
vfSa	vf/Sa	vfSa/
vfzwikAma	vfzwi/kAma	vf/zwikAma
vfzwivani	vfzwi/va/ni	vfzwiva/ni
vfzwisani	vfzwi/sa/ni	vfzwisa/ni
vfzwihavya	vfzwi/ha/vya	vfzwiha/vya
veditavya	veditavya^	vedita/vya
veda	veda/	ve/da,veda/
vedizad	ve/diza/d	vediza/d
vEdeha	vEdeha/,vE/deha/	vE/deha
vEzRavavAruRa	vEzRava/vAruRa	vEzRavavAruRa/
vEzRavya	vEzRavya/	vEzRavya^
vyaMsa	vya/Msa	vya^Msa
vyaDvan	vya/Dvan	vya^Dvan
vyanta	vya/nta	vya^nta
vyalkaSa	vya/lkaSa	vya^lkaSa
vyaSva	vya/Sva	vya^Sva
vyenas	vye/nas	vye^nas
vyenI	vye/nI	vye/nI,vye^nI
vyElaba	vyE/laba	vyE^laba
vyokas	vyo/kas	vyo^kas
vyaNga	vya/Nga	vya^Nga
vyaTA	vyaTA/	vya/TA
vyazwi	vya/zwi	vya^zwi
vyAGrajamBana	vyAGra/ja/mBana	vyAGraja/mBana
vyAGraloman	vyAGra/loma/n	vyAGraloma/n
vyADI	vyA/DI	vyA^DI
vyApti	vyA/pti	vyA^pti
vyAmya	vyAmya/	vyAmya^
vyuptakeSa	vyu/ptakeSa	vyu^ptakeSa
vyuzwi	vyu/zwi	vyu^zwi
vyUQa	vyU/Qa	vyU^Qa
vrajakzit	vraja/kzi/t	vrajakzi/t
vrAjapati	vrAja/pati/	vrAja/pati
vratacaryA	vrata/caryA/	vratacaryA/
vratacArin	vrata/cAri/n	vratacAri/n
vrataduGA	vrata/du/GA	vratadu/GA
vratanI	vrata/nI/	vratanI/
vratapA	vrata/pA/	vratapA/
vrataprada	vrata/prada/	vrataprada/
vrataBft	vrata/Bf/t	vrataBf/t
vratya	vratya/	vratya^,vra/tya
vrAtasAha	vrA/tasAha	vrAtasAha/
vrAtyabruva	vrA/tyabruva/	vrAtyabruva/
vrIhimaya	vrIhi/ma/ya	vrIhima/ya
Sastra	Sastra/,Sa/stra	Sastra/
SakaDUma	Sa/kaDU/ma	SakaDU/ma
SakapiRqa	Sa/kapiRqa	SakapiRqa/
Sakamaya	Sa/kama/ya	Sakama/ya
SakunisAda	Saku/nisAda/	SakunisAda/
Sakunta	Sa/ku/nta	Saku/nta
SaNKaDma	SaNKa/Dma/	SaNKaDma/
SaNKapuzpI	SaNKa/puzpI	SaNKapuzpI/
SaNKaBinna	SaNKa/Binna	SaNKaBinna/
Satagvin	Sata/gvi/n	Satagvi/n
Satacakra	Sata/cakra	Sataca/kra
Satatama	Sata/tama/	Satatama/
Satatarha	Sata/tarha/	Satatarha/
SatadAvan	Sata/dA/van	SatadA/van
Satadru	Sata/dru	Satadru/
SataDA	Sata/DA,Sata/DA/	SataDA/
SatapaTika	Sata/paTika	Sa/tapaTika
Satapad	Sata/pad	Satapa/d,Sata/pad
SatayAjam	Sata/yA/jam	SatayA/jam
Satarudriya	Sata/rudriya	Satarudri/ya
SatarudrIya	Sata/rudrI/ya	SatarudrI/ya
SatavAhI	Sata/vAhI/	SatavAhI/
SataSas	Sata/Sa/s	SataSa/s
SataSAKa	Sata/SAKa	SataSA/Ka
SatasA	Sata/sA/	SatasA/
Sataseya	Sata/se/ya	Satase/ya
Satasvin	Sata/svi/n	Satasvi/n
Satahan	Sata/ha/n	Sataha/n
SatAtfRRa	SatA/tfRRa	SatAtfRRa/
SatrutUrya	Sa/trutU/rya	SatrutU/rya
Satrutva	Sa/trutva/	Satrutva/
SatrubADana	Sa/trubA/Dana	SatrubA/Dana
Satruvala	Sa/truvala	Satruvala/
Satruha	Sa/truha/	Satruha/
Satruhan	Sa/truha/n	Satruha/n
SapaTeyya	SapaTeyya/	SapaTeyya^
SapaTya	SapaTya/	SapaTya^
Sapanatara	Sa/panatara	Sapana/tara
SamI	Sa/mI	Sa/mI,SamI/
SamIkuRa	Sa/mIkuRa	SamI/kuRa
SamIgarBa	Sa/mIgarBa/	SamIgarBa/
SamIDAnya	Sa/mIDAnya	SamIDAnya/
SamImaya	Sa/mIma/ya	SamIma/ya
SaMyvanta	SaMyva/nta	SaMyva^nta
SaMtanutva	Sa/Mtanutva/	SaMtanutva/
Sambarahatya	Sa/mbaraha/tya	Sambaraha/tya
Saramaya	Sara/ma/ya	Sarama/ya
Saryahan	Sa/ryaha/n	Saryaha/n
SAkina	SAkina/	SAkina/,SA/kina
SAkala	SA/kala	SAkala/
SAmulya	SAmulya/	SAmulya^
SArikukza	SA/rikukza	SArikukza/
SAriSAkA	SA/riSAkA	SAriSA/kA
SAlamaya	SAla/maya	SAlama/ya
SAlAvata	SA/lAvata	SAlAvata/
Sikya	Sikya/	Sikya^
SiKAvala	Si/KAvala	SiKAvala/
Sigru	Sigru/	Si/gru
Sipi	Sipi/	Si/pi
Sipivizwaka	Sipi/vizwaka/	Sipivizwaka/
Simyu	Si/myu	Simyu/
Silpa	Si/lpa,Silpa/	Silpa/,Si/lpa
Sivadattapura	Siva/dattapura	Sivadatta/pura
Sivapura	Siva/pura	Sivapura/
SiSumAra	Si/SumA/ra	SiSumA/ra
SIrzakapAla	SIrza/kapAla/	SIrzakapAla/
SIrzacCedya	SIrza/cCedya	SIrzacCedya^
SIrzatas	SIrza/ta/s	SIrzata/s
SIrzaBArika	SIrza/BArika	SI/rzaBArika
SIrzaBidya	SIrza/Bidya	SIrzaBi/dya
SIrzaSoka	SIrza/Soka	SIrzaSoka/
SIrzahArya	SIrza/hArya/	SIrzahArya^
SIrzaRya	SIrzaRya/	SIrzaRya^
SukraduGa	Sukra/du/Ga	Sukradu/Ga
Sukrapa	Sukra/pa/	Sukrapa/
SukrapiS	Sukra/pi/S	Sukrapi/S
Sucitva	Su/citva/	Sucitva/
SucipA	Su/cipA/	SucipA/
Sucizad	Su/ciza/d	Suciza/d
SunAsIrIya	Su/nAsI/rI/ya	SunAsIrI/ya
SuzkakaRWa	Su/zkakaRWa/	SuzkakaRWa/
Suzkadfti	Su/zkadfti/	Suzkadfti/
SuzRahatya	Su/zRaha/tya	SuzRaha/tya
Suzmada	Su/zmada/	Suzmada/
SUna	SU/na	SUna/,SU/na
SUrpaRAyIya	SU/rpaRAyIya	SUrpaRAyI/ya
SUzya	SUzya/	SUzya^
Sftatva	Sfta/tva/	Sftatva/
SftapA	Sfta/pA/	SftapA/
SftapAka	Sfta/pA/ka	SftapA/ka
SftAtaNkya	SftAtaNkya/	SftAtaNkya^
SftaMkftya	Sfta/Mkftya	SftaMkf/tya
SepaharzaRa	Se/paha/rzaRa	Sepaha/rzaRa
SevaDi	Se/vaDi/	SevaDi/
SevaDipA	Se/vaDi/pA/	SevaDipA/
Sokatara	Soka/tara/	Sokatara/
SyAvanAyIya	SyAva/nAyIya	SyAvanAyI/ya
SyAvanAyya	SyAva/nAyya	SyAvanAyya/
SyAvaputrya	SyAva/putrya	SyAvaputrya/
SyAvaraTya	SyAva/raTya	SyAvaraTya/
SyAvyA	SyAvyA/	SyAvyA^
Syenacit	Syena/ci/t	Syenaci/t
Syenapattra	Syena/pattra/	Syenapattra/
SradDAmanasyA	SradDA/manasyA/	SradDAmanasyA/
SrAntasad	SrAnta/sa/d	SrAntasa/d
Srava	Srava/	Sra/va
Sravasya	Sravasya/	Sravasya^
Srutavid	Sruta/vi/d	Srutavi/d
Srutasad	Sruta/sa/d	Srutasa/d
Sruzwi	Sruzwi/,Sru/zwi	Sruzwi/
Sruzwigu	Sruzwi/gu	Sru/zwigu
SroRitas	Sro/Rita/s	SroRita/s
SroRipratodin	Sro/Ripratodi/n	SroRipratodi/n
Srotratas	Sro/trata/s	Srotrata/s
SrotrapA	Sro/trapA/	SrotrapA/
SrotraBft	Sro/traBf/t	SrotraBf/t
Srotramaya	Sro/trama/ya	Srotrama/ya
Srotrasvin	Sro/trasvi/n	Srotrasvi/n
Slokakft	Slo/kakf/t	Slokakf/t
SloRya	Slo/Rya	SloRya^
SvAtraBAj	SvAtra/BA/j	SvAtraBA/j
zazwitama	zazwi/tama	za/zwitama
zazwipaTika	zazwi/paTika	za/zwipaTika
saMyAjya	saMyAjya/	saMyAjya^
saMvatsarasahasra	saMvatsara/sahasra/	saMvatsarasahasra/
saMvaditavya	saMvaditavya^	saMvadita/vya
saMveSya	saMveSya/	saMveSya^
saMSravas	saMSra/vas,sa/MSra/vas	saMSra/vas,sa/MSravas
saMsarpa	saMsa/rpa	saMsarpa/
saMsTitayajus	sa/MsTitayaju/s	saMsTitayaju/s
saMsrAvya	saMsrAvya/	saMsrAvya^
saMhita	sa/Mhita,sa/Mhita/	sa/Mhita
sakftsU	sakf/tsU/	sakftsU/
saMgrAmajit	saMgrAma/ji/t	saMgrAmaji/t
saKI	sa/KI	saKI/
saKitva	sa/Kitva/	saKitva/
saKitvana	sa/Kitvana/	saKitvana/
saKivid	sa/Kivi/d	saKivi/d
sacaTya	sacaTya/	sacaTya^
sacABU	sa/cABU/	sacABU/
sacivid	sa/civi/d	sacivi/d
sajAtavanasyA	sajAta/vanasyA/	sajAtavanasyA/
sajAtavani	sajAta/va/ni	sajAtava/ni
sajAtya	sajAtya/	sajAtya^
saktuSrI	sa/ktuSrI/	saktuSrI/
sattva	sa/ttva/,sattva/	sattva/
satyajit	satya/ji/t	satyaji/t
satyatA	satya/tA/	satya/tA
satyaDvft	satya/Dvf/t	satyaDvf/t
satyayaj	satya/ya/j	satyaya/j
satyavAc	satya/vA/c	satyavA/c
satyavAdin	satya/vAdi/n	satyavAdi/n
satyavfD	satya/vf/D	satyavf/D
satyasah	satya/sa/h	satyasa/h
satrAkara	satrA/kara/	satrAkara/
satrAjit	satrA/ji/t	satrAji/t
satrAsAha	satrA/sAha/	satrAsAha/
satrAha	satrA/ha/	satrAha/
satrAhan	satrA/ha/n	satrAha/n
sattrarAj	sattra/rA/j	sattrarA/j
sattrasad	sattra/sa/d	sattrasa/d
sattrasadya	sattra/sa/dya	sattrasa/dya
sattrya	sattrya/	sattrya^
sadasya	sadasya/	sadasya^
sadman	sadma/n,sa/dma/n	sadma/n,sa/dman
sAdanaspfS	sA/danaspf/S	sAdanaspf/S
sAdanya	sAdanya/	sAdanya^
sadAnIrA	sa/dAnIrA/	sadAnIrA/
sadAnvA	sa/dA/nvA	sadA/nvA
sadApfRa	sa/dApfRa/	sadApfRa/
sadAvfDa	sa/dAvfDa	sadA/vfDa
sadAsah	sa/dAsa/h	sadAsa/h
sadAsA	sa/dAsA/	sadAsA/
saDamAdya	saDamAdya/	saDamAdya^
saDrIcIna	saDrIcI/na	saDrIcIna/
saDryaYc	saDrya/Yc	saDrya^Yc
sanajA	sa/najA/	sanajA/
sanAjur	sa/nAjur	sanAju/r
sanemi	sa/nemi	sa/nemi,sane/mi
saMtatihoma	sa/Mtatihoma/	saMtatihoma/
saMdeSya	saMdeSya/	saMdeSya^
saMDAna	saMDA/na	saMDAna/
saparya	saparya/	saparya^
sapraTas	sa/praTas	sapra/Tas
sapatnakarSana	sapa/tnaka/rSana	sapatnaka/rSana
sapatnakzayaRa	sapa/tnakza/yaRa	sapatnakza/yaRa
sapatnakzit	sapa/tnakzi/t	sapatnakzi/t
sapatnacAtana	sapa/tnacA/tana	sapatnacA/tana
sapatnatur	sapa/tnatu/r	sapatnatu/r
sapatnadamBana	sapa/tnada/mBana	sapatnada/mBana
sapatnasAha	sapa/tnasAha/	sapatnasAha/
sapatnahan	sapa/tnaha/n	sapatnaha/n
saptadaSaDA	sapta/daSaDA/	saptadaSaDA/
saptarzi	saptarzi/	sapta/rzi
sabva	sabva/	sabva^
saBAga	saBA/ga/	saBAga/
saBAcara	saBA/cara/	saBAcara/
saBApati	saBA/pa/ti	saBA/pati
saBApAla	saBA/pAla	saBApAla/
saBAvin	saBA/vi/n	saBAvi/n
saBAsad	saBA/sa/d	saBAsa/d
saBAsAha	saBA/sAha/	saBAsAha/
saBAsTARu	saBA/sTARu/	saBAsTARu/
samA	samA/,sa/mA	sa/mA
samaBAga	sama/BAga	samaBAga/
samamaya	sama/maya	samama/ya
samarUpya	sama/rUpya	samarU/pya
samagra	sa/magra	samagra/
samaja	sa/maja	samaja/
samajyA	sa/majyA	samajyA/
samanaga	sa/managa/	samanaga/
samarya	samarya/	samarya/,samarya^
samavattaDAna	sama/vattaDAna	samavattaDA/na
samAnagrAmIya	samAna/grAmIya	samAnagrAmI/ya
samApya	samApya/	samApya^
samAmya	samAmya/	samAmya^
samitiMgama	sa/mitiMgama	samiti/Mgama
samuhyapurIza	samuhya/purIza	samuhya^purIza
samUhya	samUhya/	sa/mUhya
samoham	samo/ham	sa/moham
samaryajit	samarya/jit	samaryaji/t
samaryarAjya	samarya/rA/jya	samaryarA/jya
samIca	samI/ca	samIca/
sayonitva	sa/yonitva/	sayonitva/
sarasya	sarasya/	sarasya^
sarpanAma	sarpa/nAma/	sarpanAma/
sarparAjYI	sarpa/rAjYI/	sarparAjYI/
sarpavid	sarpa/vid	sarpavi/d
sarpavidyA	sarpa/vidyA/	sarpavidyA/
sarpaSIrza	sarpa/SIrza	sarpaSIrza/
sarvakfzRa	sa/rvakfzRa	sarva/kfzRa
sarvakeSaka	sa/rvakeSaka/	sarvakeSaka/
sarvagAyatra	sa/rvagAyatra	sarva/gAyatra
sarvagfhya	sa/rvagfhya/	sarvagfhya/
sarvajanIna	sa/rvajanIna	sarvajanI/na
sarvajanIya	sa/rvajanIya	sarvajanI/ya
sarvajanman	sa/rvajanman	sarva/janman
sarvajyAni	sa/rvajyAni/	sarvajyAni/
sarvatara	sa/rvatara	sarva/tara
sarvatas	sa/rvatas,sarva/tas	sarva/tas
sarvatva	sa/rvatva/	sarvatva/
sarvaTA	sa/rvaTA,sarva/TA	sarva/TA
sarvadA	sa/rvadA,sarvadA/	sarvadA/
sarvadevatya	sa/rvadevatya/	sarvadevatya^
sarvaDA	sa/rvaDA/	sarvaDA/
sarvaDurIRa	sa/rvaDurIRa	sarvaDurI/Ra
sarvapattrIRa	sa/rvapattrIRa	sarvapattrI/Ra
sarvapaTIna	sa/rvapaTIna	sarvapaTI/na
sarvapaSu	sa/rvapaSu,sarva/paSu	sarva/paSu
sarvapAYcAlaka	sa/rvapAYcAlaka	sarva/pAYcAlaka
sarvapAtrIRa	sa/rvapAtrIRa	sarvapAtrI/Ra
sarvaprAyaScitta	sa/rvaprAyaScitta/	sarvaprAyaScitta/
sarvamaya	sa/rvama/ya	sarvama/ya
sarvameDa	sa/rvameDa/	sarvameDa/
sarvarAj	sa/rvarA/j	sarvarA/j
sarvarAtra	sa/rvarAtra	sarvarAtra/
sarvarUpa	sa/rvarUpa	sarva/rUpa
sarvarohita	sa/rvarohita	sarva/rohita
sarvaloka	sa/rvaloka/	sarvaloka/
sarvavid	sa/rvavid	sarvavi/d
sarvavidyA	sa/rvavidyA/,sa/rvavidyA	sarvavidyA/
sarvavedasa	sa/rvavedasa/	sarvavedasa/
sarvaSas	sa/rvaSa/s,sarvaSa/s	sarvaSa/s
sarvaSAnti	sa/rvaSAnti/	sarvaSAnti/
sarvaSAsa	sa/rvaSAsa/	sarvaSAsa/
sarvaSudDavAla	sa/rvaSudDavAla	sarva/SudDavAla
sarvaSveta	sa/rvaSveta	sarva/Sveta,sa/rvaSveta
sarvasamfdDa	sa/rvasamfdDa	sarva/samfdDa
sarvahut	sa/rvahu/t	sarvahu/t
sarvAtman	sarvAtma/n	sarvAtma/n,sa/rvAtman
sarvASya	sarvASya/	sarvASya^
salomatva	sa/lomatva/	salomatva/
savana	sa/vana	sa/vana,savana/
savanaBAj	sa/vanaBA/j	savanaBA/j
savanamuKa	sa/vanamuKa/	savanamuKa/
savIryatva	sa/vIryatva/	savIryatva/
savAtya	savAtya/	savAtya^
savya	savya/	savya/,sa/vya
savyatas	savya/tas	savyata/s
savyazWA	savya/zWA/	savyazWA/
sasTAvan	sasTA/van	sa/sTAvan
sahamAna	sa/hamAna,saha/mAna	sa/hamAna
sahaskft	sa/haskft	sahaskf/t
sahasya	sahasya/	sahasya^
sahacAra	saha/cAra/	sahacAra/
sahaja	saha/ja/	sahaja/
sahajA	saha/jA/	sahajA/
sahadeva	saha/deva	sa/hadeva
sahavah	saha/vah	sahava/h
sahaSeyya	saha/Se/yya	sahaSe/yya
sahasraGni	saha/sraGni/	sahasraGni/
sahasrajit	saha/srajit	sahasraji/t
sahasratama	saha/sratama/	sahasratama/
sahasradA	saha/sradA/	sahasradA/
sahasradAvan	saha/sradA/van	sahasradA/van
sahasraDA	saha/sraDA/	sahasraDA/
sahasrapad	saha/srapad	sahasrapa/d,saha/srapad
sahasrapozin	saha/srapozi/n	sahasrapozi/n
sahasrapozya	saha/srapozya/	sahasrapozya^
sahasrayAjin	saha/srayAjin	sahasrayAji/n
sahasraSatadakziRa	saha/sraSata/dakziRa	sahasraSata/dakziRa
sahasraSas	saha/sraSa/s	sahasraSa/s
sahasrasA	saha/srasA/	sahasrasA/
sahasrasAva	saha/srasAva/	sahasrasAva/
sahasraha	saha/sraha/	sahasraha/
sAkamukz	sAka/mu/kz	sAkamu/kz
sAkameDa	sAka/meDa/	sAkameDa/
sANga	sANga/	sA/Nga
sAtyakAmi	sAtya/kAmi	sA/tyakAmi
