aMSaBU	a/MSaBU/	aMSaBU/
uraRa	u/raRa	u/raRa,uraRa/
urAmaTi	u/rAma/Ti	urAma/Ti
urastas	u/rastas	urasta/s
urukft	uru/kf/t	urukf/t
urukrama	uru/krama/	urukrama/
urukzaya	uru/kzaya	urukza/ya
urukziti	uru/kziti/	urukziti/
urugAya	uru/gAya/	urugAya/
urugUlA	uru/gU/lA	urugU/lA
urugrAha	uru/grAha/	urugrAha/
urucakra	uru/cakra/	urucakra/
urucakri	uru/ca/kri	uruca/kri
urucakzas	uru/ca/kzas	uruca/kzas
urujrayas	uru/jra/yas	urujra/yas
urujri	uru/jri/	urujri/
urupraTas	uru/pra/Tas	urupra/Tas
urubila	uru/bila/	urubila/
urubja	uru/'bja	urubja/
uruvyacas	uru/vya/cas	uruvya/cas
uruvyaYc	uru/vya/Yc	uruvya/Yc
uruSaMsa	uru/Sa/Msa	uruSa/Msa
uruzA	uru/zA	uruzA/
urvyUti	urvyU/ti	urvyU^ti
urvarAjit	urva/rAji/t	urvarAji/t
urvarAsA	urva/rAsA/	urvarAsA/
urvarya	urvarya/	urvarya^
ulapa	u/lapa	u/lapa,ula/pa
ulbaRa	ulba/Ra,ulbaRa/	ulbaRa/
uzasya	uzasya/	uzasya^
UDanya	UDanya/	UDanya^
UrudaGna	Uru/daGna/	UrudaGna/
UruBinna	Uru/Binna	UruBinna/
Urvya	Urvya/,U/rvya	U/rvya
Urjavya	Urjavya/	Urjavya^
UrRAvala	U/rRAvala/	UrRAvala/
UrRAsUtra	U/rRAsUtra/	UrRAsUtra/
UrDvacit	UrDva/ci/t	UrDvaci/t
UrDvabAhu	UrDva/bAhu	UrDva/bA^hu
