snuzA:1268,1:νυός
spand:1268,1:σφενδόνησφαδασμοςσφεδανόςσφοδρός
spaSa:1268,2:σκοπός
spaS:1268,2:σκώψ
spaS:1268,2:σκέπ-τομαισκοπ-ή
spfh:1269,2:σπέρχω
sPAra:1270,1:σφαῖρα
sPal:1270,1:σφάλλοω
sPAy:1270,1:σφηλός
sPij:1270,1:πυγήὀσφύς
sPic:1270,1:πυγήὀσφύς
sPur:1270,3:σπαίρωσφυρόν
sPya:1271,2:σφήν
sPUrjana:1271,2:σφάραγος
sPUrj:1271,2:σφαραγέομαι
smi:1271,3:φιλομμειδήςφιλο-σμειδηςμεῖδοςμειδάω
smf:1271,3:μέρμερος
sru:1274,2:ρ῾έωσρεϝωρ῾ύσις
sva:1275,1:ἕὅσφός
svAd:1279,2:ἥδομαι
svad:1279,2:ἥδομαι
svAdu:1279,3:ἡδύς
svap:1280,2:ὕπ-νος
svar:1281,2:ἠέλιοςἤλιος
svasf:1282,3:ἔορ
svid:1284,3:ἱδρώς
svf:1285,1:σῦριγξ
haMsI:1286,2:χήν
had:1287,1:χέζω
hata:1287,2:φατός
han:1287,2:θείνωθάνατοςφόνοςἔπεφνονπέφαται
hanu:1288,1:γένυςγένειονγενείαςγνάθος
haras:1289,2:θέρος
harijab:1292,2:ὁρίζων
haryb:1292,2:χαίρω
hasta:1294,3:ἀγοστός
hima:1298,3:(δύς)χιμοςχιώνχειμών
hibuka:1298,3:ὑπόγειον
hu:1300,3:χυ-χέωχέϝωχυλόςχυμός
hutaBuj:1301,1:β
hf:1302,1:χείρ
hfd:1302,2:καρδίακραδίη
hfdrogab:1303,2:ὑδροχόος
hemna:1305,1:*῾ερμῆς
heli:1305,2:ἥλιος
horA:1306,2:ὥρα
hyas:1306,3:χθές
hrasIyasI:1307,1:χερείων
hrAd:1307,2:χάλαζα
hlAd:1307,3:κέχλαδακαχλάζω
akzitavya:1308,2:ὀξύς
hve:1308,3:γοάω
aha:1318,3:μὲνδέ
