indupada : old:1 ['28887.1']  new:1 ['28886.1']
induputra : old:1 ['28888']  new:1 ['28887.1']
indrakoSa : old:3 ['28959', '28960', '28961']  new:0 []
indrakoza : old:4 ['28962', '28963', '28964', '28965']  new:1 ['28958.1']
indrakozaka : old:4 ['28966', '28967', '28968', '28969']  new:1 ['28958.2']
indralupta : old:1 ['29084']  new:0 []
indraluptaka : old:2 ['29085', '29086']  new:1 ['29083.1']
indrastut : old:1 ['29149']  new:0 []
indrastoma : old:2 ['29150', '29151']  new:1 ['29148.1']
indriyaboDana : old:1 ['29235']  new:0 []
indriyaboDin : old:1 ['29237']  new:0 []
izIkAYji : old:1 ['29460.1']  new:1 ['29461']
izIkAtUla : old:1 ['29461']  new:1 ['29460.1']
izwimaya : old:1 ['29653.1']  new:1 ['29654']
izwimuz : old:1 ['29654']  new:1 ['29653.1']
iK : old:1 ['29713.1']  new:1 ['29713.1']
iNK : old:1 ['29714.1']  new:1 ['29714.1']
Iqenya : old:1 ['29729']  new:0 []
ILenya : old:2 ['29730', '29731']  new:1 ['29728.1']
Iqya : old:2 ['29732', '29733']  new:1 ['29728.2']
IdfSa : old:1 ['29744']  new:0 []
IdfSaka : old:1 ['29745']  new:1 ['29743.1']
IdfSaBUta : old:1 ['29744.1']  new:1 ['29744']
IdfSaBUtatA : old:1 ['29744.2']  new:1 ['29744.1']
Irma : old:1 ['29788.1']  new:0 []
IrmA : old:2 ['29788.2', '29788.3']  new:1 ['29788.1']
Irkzy : old:1 ['29797.1']  new:1 ['29797.1']
Izma : old:1 ['29982.1']  new:0 []
Izva : old:2 ['29982.2', '29982.3']  new:1 ['29982.1']
ugratA : old:1 ['30156']  new:0 []
ugratva : old:2 ['30157', '30158']  new:1 ['30155.1']
uccatA : old:1 ['30238']  new:0 []
uccatva : old:2 ['30239', '30240']  new:1 ['30237.1']
ujjvalatA : old:1 ['30587']  new:0 []
ujjvalatva : old:2 ['30588', '30589']  new:1 ['30586.1']
uqupati : old:1 ['30637']  new:0 []
uqurAj : old:2 ['30638', '30639']  new:1 ['30636.1']
uttamatA : old:1 ['31095']  new:0 []
uttamatva : old:2 ['31096', '31097']  new:1 ['31094.1']
uttarozWa : old:1 ['31352']  new:0 []
uttarOzWa : old:1 ['31354']  new:0 []
utsukatA : old:3 ['31941', '31942', '31943']  new:0 []
utsukatva : old:4 ['31944', '31945', '31946', '31947']  new:1 ['31940.1']
ud : old:1 ['32059.05']  new:0 []
und : old:2 ['32059.1', '32059.55']  new:1 ['32059.1']
udac : old:2 ['32301.1', '32301.2']  new:0 []
udIcI : old:1 ['32301.3']  new:0 []
udak : old:3 ['32301.4', '32301.5', '32301.6']  new:0 []
