k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
kARqerI,kāṇḍerī,yes,yes,no,,,no
kARqera,kāṇḍera,no,yes,no,,,no
kARqikA,kāṇḍikā,yes,no,yes,1,hapax(1),no
kASAlmali,kāśālmali,yes,yes,no,,,no
kASUkAra,kāśūkāra,no,yes,no,,,no
kASa,kāśa,no,no,yes,3,uncommon(10-99),no
kASaka,kāśaka,yes,no,no,,,no
kASamaya,kāśamaya,no,yes,no,,,no
kASmIrI,kāśmīrī,yes,no,yes,2,rare(2-9),no
kASmIra,kāśmīra,yes,no,yes,3,uncommon(10-99),no
kASmIrajA,kāśmīrajā,yes,yes,no,,,no
kASmIraja,kāśmīraja,no,no,yes,2,rare(2-9),no
kASmarI,kāśmarī,no,yes,yes,3,uncommon(10-99),no
kAWinyaPala,kāṭhinyaphala,yes,yes,no,,,no
kAYcI,kāñcī,yes,no,yes,3,uncommon(10-99),no
kAYcanAra,kāñcanāra,no,yes,yes,3,uncommon(10-99),no
kAYcanI,kāñcanī,yes,no,yes,3,uncommon(10-99),no
kAYcana,kāñcana,yes,no,yes,5,very-common(1000+),no
kAYcanakAriRI,kāñcanakāriṇī,yes,yes,no,,,no
kAYcanaka,kāñcanaka,yes,no,yes,2,rare(2-9),no
kAYcanakadalI,kāñcanakadalī,yes,yes,yes,1,hapax(1),yes
kAYcanakzIrI,kāñcanakṣīrī,no,yes,yes,2,rare(2-9),no
kAYcanapuzpI,kāñcanapuṣpī,yes,yes,yes,1,hapax(1),yes
kAYcanapuzpaka,kāñcanapuṣpaka,yes,yes,yes,1,hapax(1),yes
kAYcanikA,kāñcanikā,yes,no,yes,1,hapax(1),no
kAcalavaRa,kācalavaṇa,no,yes,yes,2,rare(2-9),no
kAcamAza,kācamāṣa,yes,yes,no,,,no
kAcasTAlI,kācasthālī,yes,yes,yes,1,hapax(1),yes
kAdamba,kādamba,yes,no,yes,3,uncommon(10-99),no
kAdambara,kādambara,yes,no,yes,3,uncommon(10-99),no
kAdambarya,kādambarya,yes,yes,yes,1,hapax(1),yes
kAhI,kāhī,yes,yes,yes,1,hapax(1),yes
kAhalApuzpa,kāhalāpuṣpa,yes,yes,yes,1,hapax(1),yes
kAkA,kākā,yes,no,yes,1,hapax(1),no
kAkANgA,kākāṅgā,yes,yes,yes,1,hapax(1),yes
kAkANgI,kākāṅgī,yes,yes,no,,,no
kAkARqA,kākāṇḍā,yes,no,yes,2,rare(2-9),no
kAkARqa,kākāṇḍa,yes,no,yes,2,rare(2-9),no
kAkARqaka,kākāṇḍaka,no,yes,yes,1,hapax(1),no
kAkARqolA,kākāṇḍolā,no,yes,yes,2,rare(2-9),no
kAkAYcI,kākāñcī,no,no,no,,,no
