k1_slp1,k1_iast,species_canonical,species_raw,L_number,page_col,sense_citation,lexicographer_only,dcs_band,dcs_band_label
vAnarapriya,vānarapriya,Mimusops kauki,Mimusops Kauki,190854,"940,3",L.,yes,2,rare(2-9)
vAnarAGAta,vānarāghāta,Symplocos racemosa,Symplocos Racemosa,190859,"940,3",L.,yes,,
vAnarAGAta,vānarāghāta,Lodh,Lodh,190859,"940,3",L.,yes,,
vAnala,vānala,Ocimum sanctum,Ocimum Sanctum,190866,"940,3",L.,yes,,
vAnaspatya,vānaspatya,Eugenia,Eugenia,190878,"940,3",AV.; L.,no,3,uncommon(10-99)
vAnIra,vānīra,Calamus rotang,Calamus Rotang,190884,"940,3",MBh.; Kāv.,no,3,uncommon(10-99)
vAnIraja,vānīraja,Saccharum munjia,Saccharum Munjia,190887,"940,3",L.,yes,2,rare(2-9)
vAnIraja,vānīraja,Costus speciosus,Costus Speciosus,190888,"940,3",L.,yes,2,rare(2-9)
vAnIraja,vānīraja,Arabicus,Arabicus,190888,"940,3",L.,yes,2,rare(2-9)
vAnIraka,vānīraka,Saccharum munjia,Saccharum Munjia,190889,"940,3",L.,yes,,
vAneya,vāneya,Cyperus rotundus,Cyperus Rotundus,190892,"940,3",L.,yes,3,uncommon(10-99)
vAntikft,vāntikṛt,Vangueria spinosa,Vangueria Spinosa,190916,"941,1",L.,yes,,
vAntidA,vāntidā,Helleborus niger,Helleborus Niger,190918,"941,1",L.,yes,,
vAntidA,vāntidā,Wrightia antidysenterica,Wrightia Antidysenterica,190918,"941,1",L.,yes,,
vAntidA,vāntidā,Calotropis gigantea,Calotropis Gigantea,190918,"941,1",L.,yes,,
vAntiSoDanI,vāntiśodhanī,Nigella indica,Nigella Indica,190919,"941,1",L.,yes,,
vApIha,vāpīha,Cuculus melanoleucus,Cuculus Melanoleucus,190957,"941,1",L.,yes,,
vApya,vāpya,Costus speciosus,Costus Speciosus,190963,"941,1",L.,yes,2,rare(2-9)
vApya,vāpya,Arabicus,Arabicus,190963,"941,1",L.,yes,2,rare(2-9)
vAma,vāma,Chenopodium album,Chenopodium Album,190982,"941,2",L.,yes,4,common(100-999)
vAmApIqana,vāmāpīḍana,Careya arborea,Careya Arborea,191027,"941,2",L.,yes,,
vAmApIqana,vāmāpīḍana,Salvadora persica,Salvadora Persica,191027,"941,2",L.,yes,,
vAmana,vāmana,Alangium hexapetalum,Alangium Hexapetalum,191108,"941,3",L.,yes,4,common(100-999)
vAyasa,vāyasa,Agallochum,Agallochum,191197,"942,2",L.,yes,4,common(100-999)
vAyasI,vāyasī,Ficus oppositifolia,Ficus Oppositifolia,191201,"942,2",L.; Suśr.,no,3,uncommon(10-99)
vAyasI,vāyasī,Agati grandiflora,Agati Grandiflora,191201,"942,2",L.; Suśr.,no,3,uncommon(10-99)
vAyasAdanI,vāyasādanī,Agati grandiflora,Agati Grandiflora,191214,"942,2",L.,yes,2,rare(2-9)
vAyasAdanI,vāyasādanī,Cardiospermum halicacabum,Cardiospermum Halicacabum,191214,"942,2",L.,yes,2,rare(2-9)
vAyasAdanI,vāyasādanī,Capparis sepiaria,Capparis Sepiaria,191214,"942,2",L.,yes,2,rare(2-9)
vAyasAhvA,vāyasāhvā,Agati grandiflora,Agati Grandiflora,191218,"942,2",L.,yes,2,rare(2-9)
vAyasAhvA,vāyasāhvā,Solanum indicum,Solanum Indicum,191219,"942,2",,no,2,rare(2-9)
vAyasAhvA,vāyasāhvā,Capparis sepiaria,Capparis Sepiaria,191220,"942,2",,no,2,rare(2-9)
vAyasekzuka,vāyasekṣuka,Saccharum spontaneum,Saccharum Spontaneum,191221,"942,2",L.,yes,2,rare(2-9)
vAri,vāri,Andropogon,Andropogon,191434,"943,1",Bhpr.,no,4,common(100-999)
vArikaRwaka,vārikaṇṭaka,Trapa bispinosa,Trapa Bispinosa,191436,"943,2",L.,yes,,
vArikarRikA,vārikarṇikā,Pistia stratiotes,Pistia Stratiotes,191437,"943,2",L.,yes,,
vArikubja,vārikubja,Trapa bispinosa,Trapa Bispinosa,191439,"943,2",W.; L.,no,,
vAricatvara,vāricatvara,Pistia stratiotes,Pistia Stratiotes,191449,"943,2",L.,yes,,
vAricAmana,vāricāmana,Vallisneria,Vallisneria,191453,"943,2",L.,yes,,
vAricAmana,vāricāmana,Blyxa,Blyxa,191453,"943,2",L.,yes,,
vAricAmana,vāricāmana,Octandra,Octandra,191453,"943,2",L.,yes,,
vArida,vārida,Cyperus rotundus,Cyperus Rotundus,191475,"943,2",VarBṛS.; Suśr.; Bhpr.,no,3,uncommon(10-99)
vAriparRI,vāriparṇī,Pistia stratiotes,Pistia Stratiotes,191501,"943,2",L.,yes,2,rare(2-9)
vAripUrRI,vāripūrṇī,Pistia stratiotes,Pistia Stratiotes,191505,"943,2",Col.,no,,
vAribadara,vāribadara,Flacourtia cataphracta,Flacourtia Cataphracta,191510,"943,2",L.,yes,1,hapax(1)
vArimUlI,vārimūlī,Pistia stratiotes,Pistia Stratiotes,191525,"943,2",L.,yes,,
vArivara,vārivara,Carissa carandas,Carissa Carandas,191539,"943,2",L.,yes,,
vArivallaBA,vārivallabhā,Batatas paniculata,Batatas Paniculata,191541,"943,2",L.,yes,1,hapax(1)
vArivAlaka,vārivālaka,Andropogon,Andropogon,191544,"943,3",L.,yes,,
vArisaMjYa,vārisaṃjña,Andropogon,Andropogon,191561,"943,3",VarBṛS.,no,,
vArisamBava,vārisambhava,Andropogon muricatus,Andropogon Muricatus,191565,"943,3",,no,2,rare(2-9)
vAryAmalaka,vāryāmalaka,Myrobolan,Myrobolan,191580,"943,3",R.,no,,
vAra,vāra,Achyranthes aspera,Achyranthes Aspera,191590.45,"943,3",L.,yes,5,very-common(1000+)
vArabuzA,vārabuṣā,Musa sapientum,Musa Sapientum,191596,"943,3",L.,yes,,
vAraRakesara,vāraṇakesara,Mesua roxburghii,Mesua Roxburghii,191655,"944,1",Suśr.,no,,
vAraRabusA,vāraṇabusā,Musa sapientum,Musa Sapientum,191657,"944,1",L.,yes,1,hapax(1)
vAraRa,vāraṇa,Crataeva roxburghii,Crataeva Roxburghii,191711,"944,2",ŚBr.; Kauś.,no,4,common(100-999)
vAralIka,vāralīka,Eleusine indica,Eleusine Indica,191723,"944,2",L.,yes,,
vArAha,vārāha,Dioscorea,Dioscorea,191738,"944,2",,no,4,common(100-999)
vArAhakanda,vārāhakanda,Dioscorea,Dioscorea,191745,"944,2",Suśr.,no,,
vArAhakarRI,vārāhakarṇī,Physalis flexuosa,Physalis Flexuosa,191746,"944,2",,no,1,hapax(1)
vArAhapattrI,vārāhapattrī,Physalis flexuosa,Physalis Flexuosa,191751,"944,2",L.,yes,,
vArAhANgI,vārāhāṅgī,Croton polyandrum,Croton Polyandrum,191757,"944,2",L.,yes,,
vArAhANgI,vārāhāṅgī,Tiglium,Tiglium,191757,"944,2",L.,yes,,
vArAhI,vārāhī,Dioscorea,Dioscorea,191762,"944,2",VarBṛS.,no,3,uncommon(10-99)
vArttAka,vārttāka,Solanum melongena,Solanum Melongena,191918,"945,2",Hariv.; Suśr.; MārkP.,no,3,uncommon(10-99)
vArdara,vārdara,Abrus precatorius,Abrus Precatorius,191956,"945,2",L.,yes,,
vArdara,vārdara,Mangifera indica,Mangifera Indica,191957,"945,2",,no,,
vArzikI,vārṣikī,Jasminum sambac,Jasminum Sambac,192029,"946,1",L.,yes,2,rare(2-9)
vAla,vāla,Andropogon,Andropogon,192083,"946,1",VarBṛS.; Suśr.,no,4,common(100-999)
vAlA,vālā,Pavonia odorata,Pavonia Odorata,192086,"946,1",L.,yes,,
vAlaka,vālaka,Andropogon,Andropogon,192130,"946,2",Kāv.; VarBṛS.; Suśr.,no,3,uncommon(10-99)
vAlukI,vālukī,Cucumis utilissimus,Cucumis Utilissimus,192174,"946,3",L.,yes,2,rare(2-9)
vAluNkI,vāluṅkī,Cucumis utilissimus,Cucumis Utilissimus,192194.1,"946,3",L.,yes,,
vAlvaNgiri,vālvaṅgiri,Cucumis utilissimus,Cucumis Utilissimus,192225,"946,3",L.,yes,,
vAvaya,vāvaya,Ocimum sanctum,Ocimum Sanctum,192232,"947,1",L.,yes,,
vASaka,vāśaka,Gendarussa vulgaris,Gendarussa Vulgaris,192269,"947,1",L.,yes,2,rare(2-9)
vAsa,vāsa,Gendarussa vulgaris,Gendarussa Vulgaris,192287,"947,2",L.,yes,4,common(100-999)
vAsaka,vāsaka,Gendarussa vulgaris,Gendarussa Vulgaris,192293,"947,2",VarBṛS.; Suśr.,no,3,uncommon(10-99)
vAsaka,vāsaka,Adhatoda vasica,Adhatoda Vasica,192293,"947,2",VarBṛS.; Suśr.,no,3,uncommon(10-99)
vAsinI,vāsinī,Barleria,Barleria,192303,"947,2",L.,yes,1,hapax(1)
vAsata,vāsata,Terminalia bellerica,Terminalia Bellerica,192405,"947,3",L.,yes,,
vAsanta,vāsanta,Phaseolus mungo,Phaseolus Mungo,192413,"948,1",,no,3,uncommon(10-99)
vAsanta,vāsanta,Barleria cristata,Barleria Cristata,192414,"948,1",,no,3,uncommon(10-99)
vAsanta,vāsanta,Vangueria spinosa,Vangueria Spinosa,192415,"948,1",,no,3,uncommon(10-99)
vAsantikA,vāsantikā,Gaertnera racemosa,Gaertnera Racemosa,192419,"948,1",Pañcad.,no,,
vAsantI,vāsantī,Gaertnera racemosa,Gaertnera Racemosa,192426,"948,1",L.,yes,3,uncommon(10-99)
vAsantI,vāsantī,Bignonia suaveolens,Bignonia Suaveolens,192426,"948,1",L.,yes,3,uncommon(10-99)
vAsudevI,vāsudevī,Asparagus racemosus,Asparagus Racemosus,192539,"948,2",L.,yes,2,rare(2-9)
vAsudevapriyaMkarI,vāsudevapriyaṃkarī,Asparagus racemosus,Asparagus Racemosus,192548,"948,2",L.,yes,,
vAstu,vāstu,Chenopodium album,Chenopodium Album,192601,"948,3",L.,yes,3,uncommon(10-99)
vAstuka,vāstuka,Chenopodium album,Chenopodium Album,192673,"949,1",Suśr.,no,3,uncommon(10-99)
vAstukaSAkawa,vāstukaśākaṭa,Chenopodium,Chenopodium,192675,"949,1",L.,yes,,
vAstUka,vāstūka,Chenopodium album,Chenopodium Album,192677,"949,1",L.,yes,3,uncommon(10-99)
vAhika,vāhika,Asa foetida,Asa Foetida,192769,"949,2",L.,yes,1,hapax(1)
vikaNkawa,vikaṅkaṭa,Asteracantha longifolia,Asteracantha Longifolia,192835,"949,3",L.,yes,,
vikaNkata,vikaṅkata,Flacourtia sapida,Flacourtia Sapida,192837,"949,3",TS.,no,3,uncommon(10-99)
vikaNkatA,vikaṅkatā,Sida cordifolia,Sida Cordifolia,192837.1,"949,3",L.,yes,1,hapax(1)
vikaNkatA,vikaṅkatā,Rhombifolia,Rhombifolia,192837.1,"949,3",L.,yes,1,hapax(1)
vikaRwaka,vikaṇṭaka,Alhagi maurorum,Alhagi Maurorum,192847,"949,3",L.,yes,2,rare(2-9)
vikaRwaka,vikaṇṭaka,Asteracantha longifolia,Asteracantha Longifolia,192847,"949,3",L.,yes,2,rare(2-9)
vikzIra,vikṣīra,Calotropis gigantea,Calotropis Gigantea,192941,"950,1",L.,yes,1,hapax(1)
viganDaka,vigandhaka,Terminalia catappa,Terminalia Catappa,192950,"950,2",L.,yes,1,hapax(1)
vinamraka,vinamraka,Tabernaemontana coronaria,Tabernaemontana Coronaria,193174,"951,1",L.,yes,,
viparRaka,viparṇaka,Butea frondosa,Butea Frondosa,193239,"951,2",L.,yes,,
viBARqikA,vibhāṇḍikā,Senna obtusa,Senna Obtusa,193325,"951,3",L.,yes,1,hapax(1)
vivizA,viviṣā,Kyllingia monocephala,Kyllingia Monocephala,193553,"952,2",L.,yes,1,hapax(1)
viSAKa,viśākha,Boerhavia procumbens,Boerhavia Procumbens,193577.14,"952,3",L.,yes,3,uncommon(10-99)
viSArada,viśārada,Mimusops elengi,Mimusops Elengi,193594.1,"952,3",Kir.,no,4,common(100-999)
viSAradA,viśāradā,Alhagi,Alhagi,193596,"952,3",L.,yes,1,hapax(1)
viSoka,viśoka,Jonesia asoka,Jonesia Asoka,193624,"953,1",L.,yes,4,common(100-999)
vikIraRa,vikīraṇa,Calotropis gigantea,Calotropis Gigantea,194099,"955,1",L.,yes,2,rare(2-9)
vikrAntA,vikrāntā,Cocculus cordifolius,Cocculus Cordifolius,194236,"955,3",L.,yes,2,rare(2-9)
vikrAntA,vikrāntā,Clitoria ternatea,Clitoria Ternatea,194236,"955,3",L.,yes,2,rare(2-9)
vikrAntA,vikrāntā,Cissus pedata,Cissus Pedata,194236,"955,3",L.,yes,2,rare(2-9)
viGna,vighna,Carissa carandas,Carissa Carandas,194618,"957,3",L.,yes,4,common(100-999)
vicakila,vicakila,Jasminum zambac,Jasminum Zambac,194685,"958,2",Vās.; Bālar.; Dhūrtan.; L.,no,1,hapax(1)
vicakila,vicakila,Artemisia,Artemisia,194685,"958,2",Vās.; Bālar.; Dhūrtan.; L.,no,1,hapax(1)
vicakila,vicakila,Vangueria spinosa,Vangueria Spinosa,194685,"958,2",Vās.; Bālar.; Dhūrtan.; L.,no,1,hapax(1)
vicakzaRA,vicakṣaṇā,Tiaridium indicum,Tiaridium Indicum,194692,"958,2",L.,yes,2,rare(2-9)
vicitraka,vicitraka,Betula bhojpatra,Betula Bhojpatra,194860,"959,1",L.,yes,1,hapax(1)
vicula,vicula,Vangueria spinosa,Vangueria Spinosa,194879,"959,2",L.,yes,,
vijayA,vijayā,Terminalia chebula,Terminalia Chebula,195029,"960,1",L.; VarBṛS.; Suśr.,no,4,common(100-999)
vijayA,vijayā,Sesbania aegyptiaca,Sesbania Aegyptiaca,195029,"960,1",L.; VarBṛS.; Suśr.,no,4,common(100-999)
vijayA,vijayā,Vitex negundo,Vitex Negundo,195029,"960,1",L.; VarBṛS.; Suśr.,no,4,common(100-999)
vijayA,vijayā,Rubia munjista,Rubia Munjista,195029,"960,1",L.; VarBṛS.; Suśr.,no,4,common(100-999)
vijayA,vijayā,Premna spinosa,Premna Spinosa,195029,"960,1",L.; VarBṛS.; Suśr.,no,4,common(100-999)
vijula,vijula,Bombax heptaphyllum,Bombax Heptaphyllum,195196,"960,3",L.,yes,1,hapax(1)
vijjala,vijjala,Bombax heptaphyllum,Bombax Heptaphyllum,195223,"961,1",L.,yes,2,rare(2-9)
vijjula,vijjula,Cassia,Cassia,195229,"961,1",L.,yes,1,hapax(1)
vijjUlikA,vijjūlikā,Oldenlandia,Oldenlandia,195230,"961,1",L.,yes,,
vijYAnatElagarBa,vijñānatailagarbha,Alangium decapetalum,Alangium Decapetalum,195283,"961,2",L.,yes,1,hapax(1)
viwa,viṭa,Acacia catechu,Acacia Catechu,195338,"961,3",Kāv.; Rājat.; Kathās.; Gaṇar.; L.,no,3,uncommon(10-99)
viwavallaBA,viṭavallabhā,Bignonia suaveolens,Bignonia Suaveolens,195348,"961,3",L.,yes,1,hapax(1)
viqa,viḍa,Emblic myrobalan,Emblic Myrobalan,195397,"962,1",Suśr.,no,4,common(100-999)
viqaNga,viḍaṅga,Embelia ribes,Embelia Ribes,195403,"962,1",L.,yes,4,common(100-999)
vitaRqA,vitaṇḍā,Arum colocasia,Arum Colocasia,195456,"962,2",L.,yes,2,rare(2-9)
vitAnamUlaka,vitānamūlaka,Andropogon muricatus,Andropogon Muricatus,195511,"962,3",L.,yes,,
vitAnaka,vitānaka,Caryota urens,Caryota Urens,195516,"962,3",L.,yes,3,uncommon(10-99)
vitunna,vitunna,Marsilea quadrifolia,Marsilea Quadrifolia,195562,"963,1",L.,yes,2,rare(2-9)
vitunna,vitunna,Blyxa octandra,Blyxa Octandra,195563,"963,1",L.,yes,2,rare(2-9)
vitunnA,vitunnā,Flacourtia cataphracta,Flacourtia Cataphracta,195564,"963,1",L.,yes,2,rare(2-9)
vitunnaka,vitunnaka,Flacourtia cataphracta,Flacourtia Cataphracta,195565,"963,1",Car.,no,3,uncommon(10-99)
vidula,vidula,Calamus rotang,Calamus Rotang,195677,"963,3",Vās.; Car.,no,3,uncommon(10-99)
vidula,vidula,Fasciculatus,Fasciculatus,195677,"963,3",Vās.; Car.,no,3,uncommon(10-99)
vidulA,vidulā,Euphorbia,Euphorbia,195679,"963,3",Bhpr.,no,2,rare(2-9)
vidyA,vidyā,Premna spinosa,Premna Spinosa,195695,"964,1",L.,yes,5,very-common(1000+)
vidyAdala,vidyādala,Betula bhojpatra,Betula Bhojpatra,195724,"964,1",L.,yes,,
vidala,vidala,Bauhinia variegata,Bauhinia Variegata,196057,"965,2",L.,yes,3,uncommon(10-99)
vidalA,vidalā,Ipomoea turpethum,Ipomoea Turpethum,196058,"965,2",L.,yes,1,hapax(1)
vidara,vidara,Cactus indicus,Cactus Indicus,196188,"966,1",L.,yes,1,hapax(1)
vidArikA,vidārikā,Hedysarum gangeticum,Hedysarum Gangeticum,196199,"966,2",VarBṛS.; Suśr.,no,3,uncommon(10-99)
vidArikA,vidārikā,Batatas paniculata,Batatas Paniculata,196200,"966,2",L.,yes,3,uncommon(10-99)
vidAraRa,vidāraṇa,Pterospermum acerifolium,Pterospermum Acerifolium,196204,"966,2",L.,yes,3,uncommon(10-99)
vidAri,vidāri,Hedysarum gangeticum,Hedysarum Gangeticum,196213,"966,2",Suśr.; Car.,no,2,rare(2-9)
vidArin,vidārin,Gmelina arborea,Gmelina Arborea,196216,"966,2",L.,yes,2,rare(2-9)
vidArI,vidārī,Batatas paniculata,Batatas Paniculata,196217,"966,2",L.,yes,4,common(100-999)
vidArI,vidārī,Hedysarum gangeticum,Hedysarum Gangeticum,196218,"966,2",L.,yes,4,common(100-999)
vidDa,viddha,Echites scholaris,Echites Scholaris,196269,"966,2",L.,yes,2,rare(2-9)
vidDakarRa,viddhakarṇa,Clypea hernandifolia,Clypea Hernandifolia,196272,"966,2",L.,yes,1,hapax(1)
vidDaparkawI,viddhaparkaṭī,Pongamia glabra,Pongamia Glabra,196274,"966,2",L.,yes,,
vidyujjvAlA,vidyujjvālā,Methonica superba,Methonica Superba,196294,"966,3",L.,yes,1,hapax(1)
vidraDinASana,vidradhināśana,Hyperanthera moringa,Hyperanthera Moringa,196384,"967,1",L.,yes,1,hapax(1)
vinada,vinada,Alstonia scholaris,Alstonia Scholaris,196808,"969,1",L.,yes,,
vinayA,vinayā,Sida cordifolia,Sida Cordifolia,197196,"971,3",L.,yes,1,hapax(1)
vinDyA,vindhyā,Averrhoa acida,Averrhoa Acida,197346,"972,2",L.,yes,,
vinyAka,vinyāka,Echites scholaris,Echites Scholaris,197415,"972,3",L.,yes,,
vipra,vipra,Ficus religiosa,Ficus Religiosa,197442,"973,1",L.,yes,5,very-common(1000+)
vipra,vipra,Acacia sirissa,Acacia Sirissa,197443,"973,1",L.,yes,5,very-common(1000+)
viprakAzWa,viprakāṣṭha,Thespesia populneoides,Thespesia Populneoides,197450,"973,1",L.,yes,1,hapax(1)
vipulASravA,vipulāśravā,Aloe perfoliata,Aloe Perfoliata,197807,"975,1",L.,yes,,
vipUya,vipūya,Saccharum munjia,Saccharum Munjia,197818,"975,1","Pāṇ. iii, 1, 117.",no,1,hapax(1)
viPala,viphala,Pandanus odoratissimus,Pandanus Odoratissimus,198089,"976,3",L.,yes,3,uncommon(10-99)
viBIzaRa,vibhīṣaṇa,Amphidonax karka,Amphidonax Karka,198375,"978,2",L.,yes,4,common(100-999)
viBItaka,vibhītaka,Terminalia bellerica,Terminalia Bellerica,198387,"978,2",,no,3,uncommon(10-99)
vimalA,vimalā,Opuntia,Opuntia,198662,"979,3",L.,yes,3,uncommon(10-99)
vimarda,vimarda,Cassia sophora,Cassia Sophora,198886,"981,1",L.,yes,3,uncommon(10-99)
vimardaka,vimardaka,Cassia tora,Cassia Tora,198896,"981,1",L.,yes,3,uncommon(10-99)
viyogin,viyogin,Anas casarca,Anas Casarca,199034,"981,3",L.,yes,2,rare(2-9)
virajA,virajā,Panicum dactylon,Panicum Dactylon,199067.40,"982,1",MBh.; L.,no,2,rare(2-9)
virawa,viraṭa,Agallochum,Agallochum,199122,"982,2",ib.,no,,
viraRa,viraṇa,Andropogon muricatus,Andropogon Muricatus,199127,"982,2",L.,yes,,
virAtaka,virātaka,Terminalia arunja,Terminalia Arunja,199263,"983,1",L.,yes,,
virAtaka,virātaka,Semecarpus anacardium,Semecarpus Anacardium,199264,"983,1",L.,yes,,
virecana,virecana,Careya arborea,Careya Arborea,199293,"983,2",L.,yes,4,common(100-999)
virecana,virecana,Salvadora persica,Salvadora Persica,199293,"983,2",L.,yes,4,common(100-999)
virUpA,virūpā,Alhagi maurorum,Alhagi Maurorum,199511,"984,2",L.,yes,2,rare(2-9)
virUpA,virūpā,Aconitum ferox,Aconitum Ferox,199512,"984,2",L.,yes,2,rare(2-9)
virUpa,virūpa,Piper longum,Piper Longum,199517,"984,2",L.,yes,4,common(100-999)
vilomI,vilomī,Emblic myrobalan,Emblic Myrobalan,199888,"986,2",L.,yes,,
viSalyA,viśalyā,Cocculus cordifolius,Cocculus Cordifolius,200458,"989,3",L.,yes,3,uncommon(10-99)
viSalyA,viśalyā,Croton polyandrum,Croton Polyandrum,200459,"989,3",L.,yes,3,uncommon(10-99)
viSalyA,viśalyā,Convolvulus turpethum,Convolvulus Turpethum,200460,"989,3",L.,yes,3,uncommon(10-99)
viSalyA,viśalyā,Methonica superba,Methonica Superba,200461,"989,3",Bhpr.,no,3,uncommon(10-99)
viSalyA,viśalyā,Menispermum cordifolium,Menispermum Cordifolium,200464,"989,3",W.,no,3,uncommon(10-99)
viSalyA,viśalyā,Langaliya,Langaliya,200466,"989,3",ib.,no,3,uncommon(10-99)
viSalyakft,viśalyakṛt,Echites dichotoma,Echites Dichotoma,200472,"989,3",L.,yes,,
viSAlA,viśālā,Basella cordifolia,Basella Cordifolia,200513,"990,1",L.,yes,3,uncommon(10-99)
viSAlA,viśālā,Portulaca quadrifida,Portulaca Quadrifida,200514,"990,1",L.,yes,3,uncommon(10-99)
viSAlatElagarBa,viśālatailagarbha,Alangium hexapetalum,Alangium Hexapetalum,200532,"990,1",L.,yes,,
viSAlatvac,viśālatvac,Bauhinia variegata,Bauhinia Variegata,200534,"990,1",L.,yes,2,rare(2-9)
viSAlatvac,viśālatvac,Alstonia scholaris,Alstonia Scholaris,200534,"990,1",L.,yes,2,rare(2-9)
viSAladA,viśāladā,Alhagi maurorum,Alhagi Maurorum,200536,"990,1",L.,yes,,
viSAlAkzI,viśālākṣī,Tiaridium indicum,Tiaridium Indicum,200555,"990,1",L.,yes,2,rare(2-9)
viSAlaka,viśālaka,Feronia elephantum,Feronia Elephantum,200561,"990,1",L.,yes,2,rare(2-9)
viSAlikA,viśālikā,Odina pinnata,Odina Pinnata,200564,"990,2",L.,yes,,
viSuka,viśuka,Calotropis gigantea alba,Calotropis Gigantea Alba,200734,"991,1",L.,yes,,
viSoDanI,viśodhanī,Croton polyandrum,Croton Polyandrum,200778,"991,2",L.,yes,2,rare(2-9)
viSoDanI,viśodhanī,Tiglium,Tiglium,200778,"991,2",L.,yes,2,rare(2-9)
viSoDinI,viśodhinī,Tiaridium indicum,Tiaridium Indicum,200792,"991,2",L.,yes,1,hapax(1)
viSIrRaparRa,viśīrṇaparṇa,Azadirachta indica,Azadirachta Indica,200833,"991,3",L.,yes,1,hapax(1)
viSvA,viśvā,Piper longum,Piper Longum,201000,"992,3",L.,yes,3,uncommon(10-99)
viSvA,viśvā,Asparagus racemosus,Asparagus Racemosus,201001,"992,3",L.,yes,3,uncommon(10-99)
viSvadevA,viśvadevā,Uraria lagopodioides,Uraria Lagopodioides,201108.20,"993,1",Suśr.,no,2,rare(2-9)
viSvadevA,viśvadevā,Hedysarum,Hedysarum,201108.25,"993,1",W.,no,2,rare(2-9)
viSvaparRI,viśvaparṇī,Flacourtia cataphracta,Flacourtia Cataphracta,201162,"993,2",L.,yes,1,hapax(1)
viSvarUpa,viśvarūpa,Agallochum,Agallochum,201286,"993,3",W.,no,3,uncommon(10-99)
viSvarocana,viśvarocana,Colocasia antiquorum,Colocasia Antiquorum,201306,"993,3",L.,yes,,
viSvasAraka,viśvasāraka,Cactus indicus,Cactus Indicus,201370,"994,1",L.,yes,,
viSvasTA,viśvasthā,Asparagus racemosus,Asparagus Racemosus,201386,"994,1",L.,yes,,
viSvAmitrasfzwi,viśvāmitrasṛṣṭi,Palmyra,Palmyra,201555,"995,1",MW.,no,,
viSvedevA,viśvedevā,Uraria lagopodioides,Uraria Lagopodioides,201563,"995,1",L.,yes,1,hapax(1)
viwKadira,viṭkhadira,Vachellia farnesiana,Vachellia Farnesiana,201618,"995,2",L.,yes,3,uncommon(10-99)
vizakAzWa,viṣakāṣṭha,Thespesia populnea,Thespesia Populnea,201666,"995,2",L.,yes,,
vizaGA,viṣaghā,Menispermum cordifolium,Menispermum Cordifolium,201676,"995,3",L.,yes,,
vizaGA,viṣaghā,Cocculus cordifolius,Cocculus Cordifolius,201676,"995,3",L.,yes,,
vizaGAtin,viṣaghātin,Mimosa sirissa,Mimosa Sirissa,201680,"995,3",L.,yes,1,hapax(1)
vizaGna,viṣaghna,Mimosa sirissa,Mimosa Sirissa,201682,"995,3",L.,yes,2,rare(2-9)
vizaGna,viṣaghna,Hedysarum alhagi,Hedysarum Alhagi,201683,"995,3",,no,2,rare(2-9)
vizaGna,viṣaghna,Beleric myrobalan,Beleric Myrobalan,201684,"995,3",,no,2,rare(2-9)
vizaGna,viṣaghna,Terminalia belerica,Terminalia Belerica,201685,"995,3",,no,2,rare(2-9)
vizaGnI,viṣaghnī,Hingtsha repens,Hingtsha Repens,201686,"995,3",L.,yes,3,uncommon(10-99)
vizaGnI,viṣaghnī,Bicchati,Bicchati,201687,"995,3",,no,3,uncommon(10-99)
vizajihva,viṣajihva,Lipeocercis serrata,Lipeocercis Serrata,201694.1,"995,3",L.,yes,,
vizatindu,viṣatindu,Strychnos nux vomica,Strychnos Nux Vomica,201702,"995,3",L.,yes,2,rare(2-9)
vizadruma,viṣadruma,Upas,Upas,201719,"995,3",Kāv.; Rājat.,no,2,rare(2-9)
vizaDarmA,viṣadharmā,Carpopogon pruriens,Carpopogon Pruriens,201725,"995,3",L.,yes,,
vizaDarmA,viṣadharmā,Mucuna pruritus,Mucuna Pruritus,201725,"995,3",L.,yes,,
vizanASana,viṣanāśana,Mimosa sirissa,Mimosa Sirissa,201731,"995,3",L.,yes,1,hapax(1)
vizanud,viṣanud,Bignonia indica,Bignonia Indica,201736,"995,3",L.,yes,,
vizapuzpa,viṣapuṣpa,Vangueria spinosa,Vangueria Spinosa,201747,"995,3",L.,yes,1,hapax(1)
vizapuzpaka,viṣapuṣpaka,Vangueria spinosa,Vangueria Spinosa,201749,"995,3",L.,yes,2,rare(2-9)
vizamuzwi,viṣamuṣṭi,Bishdori,Bishdori,201769,"996,1",Bhpr.,no,3,uncommon(10-99)
vizamuzwi,viṣamuṣṭi,Karsinh,Karsinh,201769,"996,1",Bhpr.,no,3,uncommon(10-99)
vizamuzwika,viṣamuṣṭika,Melia sempervirens,Melia Sempervirens,201770,"996,1",ib.,no,2,rare(2-9)
vizavfkza,viṣavṛkṣa,Upas,Upas,201788,"996,1",Rājat.,no,,
vizahA,viṣahā,Kyllingia monocephala,Kyllingia Monocephala,201803,"996,1",L.,yes,2,rare(2-9)
vizahan,viṣahan,Kadamba,Kadamba,201807,"996,1",L.,yes,,
vizApahA,viṣāpahā,Aristolochia indica,Aristolochia Indica,201837,"996,1",L.,yes,2,rare(2-9)
vizAsyA,viṣāsyā,Semecarpus anacardium,Semecarpus Anacardium,201852,"996,2",L.,yes,,
vizOzaDI,viṣauṣadhī,Tiaridium indicum,Tiaridium Indicum,201856,"996,2",L.,yes,,
