parent_L,parent_k1,child_L,child_k1,child_lex,reciprocal
140028,prApita,140028.1,prApitatva,n.,yes
140041,prAptakarman,140041.1,prAptakarmatva,n.,yes
140043,prAptakAla,140047.1,prAptakAlatva,n.,yes
140072,prAptavikalpa,140072.1,prAptavikalpatva,n.,yes
140114,prApyakArin,140114.1,prApyakAritva,n.,yes
140126,prAya,140131.1,prAyatA,f.,yes
140155,prAyaRIyA,140156.2,prAyaRIyAvat,ind.,yes
140156,prAyaRIya,140156.1,prAyaRIyatva,n.,yes
140161.45,prAyaScittaSatadvayI,140161.46,prAyaScittaSatadvayISatadvayIprAyaScitta,n.,yes
140173,prAyaScittIya,140173.1,prAyaScittIyatA,f.,yes
140173,prAyaScittIya,140173.2,prAyaScittIya,,yes
140201,prArabDa,140204.1,prArabDavat,mfn.,yes
140228,prArTanA,140229.1,prArTanayA,ind.,yes
140299,prAvfz,140299.1,prAvfzija,mfn.,yes
140345,prASitra,140347.01,prASitravat,ind.,yes
140595,priyavAc,140595.1,priyavAksahita,mfn.,yes
140598,priyavAdin,140599.1,priyavAditA,f.,yes
141024,prekzin,141025.1,prekzitva,n.,yes
141031,preNKa,141034.1,preNKaPalaka,n.,yes
141031,preNKa,141034.2,preNKeNKana,n.,yes
141052,preqaka,141052.1,preqakatva,n.,yes
141068,preraka,141068.1,prerakatva,n.,yes
141099,prezita,141102.1,prezitavat,mfn.,yes
141158,prokzaRa,141159.1,prokzaRaviDi,m.,yes
141271,prodyata,141273.1,prodyatayazwi,mfn.,yes
141857.1,Palavat,141857.7,PalavattA,f.,yes
