; Group -1  count=0
<ls>Pāṇ.</ls>                  pratyaya 133632
<ls>Pāṇ.</ls>                  pratyakzatas 133812
<ls>Pāṇ.</ls>                  pratyudAhf 134344
<ls>Pāṇ.</ls>                  prapaYca 135054
<ls>Pāṇ.</ls>                  praBApanIya 135485
<ls>Pāṇ.</ls>                  praBavanIya 135541
<ls>Pāṇ.</ls>                  pramaNgana 135662
<ls>Pāṇ.</ls>                  pramARa 135805
<ls>Pāṇ.</ls>                  prayoga 136311
<ls>Pāṇ.</ls>                  prayoga 136322
<ls>Pāṇ.</ls>                  pravacanIya 136696
<ls>Pāṇ.</ls>                  prokta 136710
<ls>Pāṇ.</ls>                  pravftti 137303
<ls>Pāṇ.</ls>                  pravepana 137370
<ls>Pāṇ.</ls>                  pravraScana 137439
<ls>Pāṇ.</ls>                  praSaMsana 137447
<ls>Pāṇ.</ls>                  praSraTa 137684
<ls>Pāṇ.</ls>                  praSranTana 137684.1
<ls>Pāṇ.</ls>                  prasaNga 137775
<ls>Pāṇ.</ls>                  prasAraRin 138130
<ls>Pāṇ.</ls>                  praskaRva 138209
<ls>Pāṇ.</ls>                  prAk 139200
<ls>Pāṇ.</ls>                  prAN 139200.1
<ls>Pāṇ.</ls>                  prAk 139206
<ls>Pāṇ.</ls>                  prApti 140099
<ls>Pāṇ.</ls>                  priyaguqa 140482
<ls>Pāṇ.</ls>                  priyAkf 140700
<ls>Pāṇ.</ls>                  pluti 141561
<ls>Pāṇ.</ls>                  PalasADana 141884
<ls>Pāṇ.</ls>                  PalasidDi 141886
<ls>Pāṇ.</ls>                  Palotpatti 141950
<ls>Pāṇ.</ls>                  bahula 143978
<ls>Pāṇ.</ls>                  bahulam 144002.1
<ls>Pāṇ.</ls>                  bahiraNga 144105
<ls>Pāṇ.</ls>                  bAD 144318
<ls>Pāṇ.</ls>                  bADa 144324
<ls>Pāṇ.</ls>                  bADana 144360
<ls>Pāṇ.</ls>                  bAhulyena 145051
<ls>Pāṇ.</ls>                  boDa 145800
<ls>Pāṇ.</ls>                  boDaka 145832
<ls>Pāṇ.</ls>                  boDana 145851
<ls>Pāṇ.</ls>                  bfhatikA 146200
<ls>Pāṇ.</ls>                  Bakta 147601
<ls>Pāṇ.</ls>                  BAgavittika 149600
<ls>Pāṇ.</ls>                  BAvatka 150476
<ls>Pāṇ.</ls>                  BAzA 150485
<ls>Pāṇ.</ls>                  BAzyakAra 150528
<ls>Pāṇ.</ls>                  BAsana 150618
<ls>Pāṇ.</ls>                  BUtakAla 151805
<ls>Pāṇ.</ls>                  maRqUkapluti 155030
<ls>Pāṇ.</ls>                  maDyama 156498
<ls>Pāṇ.</ls>                  mahAgfzwi 159500
<ls>Pāṇ.</ls>                  mahAjanIya 159590
<ls>Pāṇ.</ls>                  mahABAra 160242
<ls>Pāṇ.</ls>                  mAna 162724
<ls>Pāṇ.</ls>                  mitradviz 164191
<ls>Pāṇ.</ls>                  mitradvezin 164192
